holding,article_ref,description,system_ref,unit,received,issued,balance
Stock,218158,CONNECTOR NAIL 5X18,ADS / AWS 65,PACKET,0.0,332.0,-332.0
"Villa D58, Flame Tree Ridge A",291009,Roller 35,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,304.0,-304.0
"Villa D58, Flame Tree Ridge A",9660994,plastic holder,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,304.0,-304.0
"Villa D58, Flame Tree Ridge A",203102,Glazing bead clip For coatng,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,300.0,-300.0
"Villa D58, Flame Tree Ridge A",224350,Glazing gskt 5,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,260.0,-260.0
"Villa D58, Flame Tree Ridge A",224063,Glazg rebate gaskt 4,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,220.0,-220.0
Stock,205082,"C/s screw ST4,8x30 ISR25",ASE 54 PD,PACKET,0.0,204.0,-204.0
Rasha + 606+Mea 9 miss access,225351,"Connect. screw ST5,5x18 ISR20",MTO for 54 PD stock,PACKET,0.0,200.0,-200.0
"Villa D58, Flame Tree Ridge A",218157,"Connector nail 5x13,5","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,200.0,-200.0
Stock,218168,Cover cap 10/15,ASE 54 PD,PACKET,0.0,158.0,-158.0
"Villa D58, Flame Tree Ridge A",298892,Glazing block plastic 100x35x5,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,156.0,-156.0
Stock,205478,C/S SCREW M4X6 ISR20,ASE 70 PD.ME,PACKET,0.0,152.0,-152.0
Stock,205174,"C/s screw ST3,9x22 ISR15",ASE 54 PD,PACKET,100.0,204.0,-104.0
Stock,205440,"CHEESE HD SCRW ST4,8X28 ISR25",ASE 55 Lift & Slide,PACKET,0.0,100.0,-100.0
Stock,244202,Glazing gskt 7-8 (224378),ASE 54 PD,PACKET,0.0,100.0,-100.0
"Villa D58, Flame Tree Ridge A",205292,"Cheese hd scrw ST3,9x45 ISR15","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,96.0,-96.0
"Villa D58, Flame Tree Ridge A",205390,"Cheese hd scrw ST4,8x38 ISR25","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,96.0,-96.0
"Villa D58, Flame Tree Ridge A",269274,Adjustment dev.,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,88.0,-88.0
"Villa D58, Flame Tree Ridge A",245702,"Spacer gasket 4 24,6 5,5 Bk","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,84.0,-84.0
Stock,239615,CLMP ANCH. M6 L51,ADS / AWS 65,PACKET,0.0,78.0,-78.0
"Villa D58, Flame Tree Ridge A",288163,Glass suppt,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,72.0,-72.0
"Villa D58, Flame Tree Ridge A",244058,"Gasket cord 2,5","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,70.0,-70.0
"Villa D58, Flame Tree Ridge A",225116,"Cheese hd scrw ST4,8x45 ISR25","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,64.0,-64.0
Stock,236217,CORNER CLEAT,ADS / AWS 65,PACKET,84.0,144.0,-60.0
Rasha + 606+Mea 9 miss access,267990,Seal,MTO for 54 PD stock,PACKET,0.0,60.0,-60.0
"Villa D58, Flame Tree Ridge A",205080,"C/s screw ST3,9x13 ISR15","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,60.0,-60.0
"Villa D58, Flame Tree Ridge A",225198,Connect. screw M6x11 ISR20,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,60.0,-60.0
"Villa D58, Flame Tree Ridge A",225273,"Hexagon nut M4/18x5,5/8","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,60.0,-60.0
"Villa D58, Flame Tree Ridge A",225299,Hammer hd bolt Pl-leg M4x54,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,60.0,-60.0
"Villa D58, Flame Tree Ridge A",225891,Glzng reb. ins.,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,60.0,-60.0
"Villa D58, Flame Tree Ridge A",224073,"PA insul. bar Sm 17,5","70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,58.0,-58.0
"Villa D58, Flame Tree Ridge A",225089,"Cheese hd scrw ST3,9x13 ISR15","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,56.0,-56.0
Stock,239612,FIXING PLATE,ADS / AWS 65,PACKET,0.0,48.0,-48.0
Rasha + 606+Mea 9 miss access,660168,End cap Interlk,MTO for 54 PD stock,PACKET,0.0,48.0,-48.0
"Villa 80 - ST3, Esmeralda – A",224683,"Rebate gasket 3,5",ASE 36 (BALANCE),PACKET,0.0,35.0,-35.0
"Villa D58, Flame Tree Ridge A",218170,St. steel pin,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,32.0,-32.0
Stock,239591,BRRL HNG R51 RAL9005,ADS / AWS 65,NO,6.0,36.0,-30.0
Stock,216294,CRNR PLT,ADS / AWS 65,PACKET,0.0,28.0,-28.0
Rasha + 606+Mea 9 miss access,288320,DIVERSE F&A (drainage cowl 288320),MTO for 54 PD stock,PACKET,0.0,28.0,-28.0
Stock,225270,"C/s screw ST3,9x40 ISR15",ASE 54 PD,PACKET,100.0,126.0,-26.0
"Villa D58, Flame Tree Ridge A",298195,"Foam strip 12x1,6","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,25.0,-25.0
"Villa D58, Flame Tree Ridge A",225015,C/s screw M4x25 ISR15,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,24.0,-24.0
