article_ref,description,system_ref,unit,min_qty
106116,LOCKING BAR (MF) (106117),ADS / AWS 65,BAR,0
112720,Cover cap 15,ASE 80 Lift & Slide + CW,BAR,0
132710,Outer shell,ASE 80 Lift & Slide + CW,BAR,0
138820,Outer shell 34,ASE 80 Lift & Slide + CW,BAR,0
138880,Cover prof. SlimL,ASE 80 Lift & Slide + CW,BAR,0
175780,T-cleat profile,ASE 80 Lift & Slide + CW,BAR,0
176040,T-cleat profile,ASE 80 Lift & Slide + CW,BAR,0
183070,Outer shell 73,ADS / AWS 65,BAR,0
183090,OUTER PROFILE 98 (395400) ( O ),ADS / AWS 65,BAR,0
183950,Inner shell 100,ADS 65 HINGED DOOR,BAR,0
184020,GLZNG BEAD 22-7,ASE 55 Lift & Slide,BAR,0
184030,Glzng bead 22-12,ADS / AWS 65,BAR,0
184040,GLAZING BEAD I 17,ADS / AWS 65,BAR,0
184060,GLAZING BEAD I 27,ADS / AWS 65,BAR,0
184080,GLAZING BEAD I 37,ADS / AWS 65,BAR,0
184090,Glzng bead 22-42,"70PD & 90HI, 35PD CW - 7pcs",BAR,0
188050,Rebate profile 12,ADS 65 HINGED DOOR,BAR,0
188920,Outer shell 125,ADS 65 HINGED DOOR,BAR,0
201316,Track St 15,ASE 36,BAR,0
201399,Track,AS FD 90 HI,BAR,0
202790,"Track 13x12,5",ASE 54 PD,BAR,0
203102,Glazing bead clip For coatng,ADS / AWS 65,PACKET,0
203109,GLAZING BEAD CLIP,AWS65,PACKET,0
203208,Cover prof.,ASE 80 Lift & Slide + CW,BAR,0
203540,"Brush seal Centre bar 6,5",ASE 54 PD,PACKET,0
205007,"Rivet nut M4/6x11,5",ASE 70 PD.ME,PACKET,0
205008,Rivet nut M5/7x13,AS FD 90 HI,PACKET,0
205080,"C/s screw ST3,9x13 ISR15",ADS / AWS 65,PACKET,0
205081,"C/s screw ST3,9x16 ISR15",ADS / AWS 65,PACKET,0
