project_code,client,status,notes
1348 - RASHA,,active,Imported from master stock list 23-09
1349 - MEADOWS 01,,active,Imported from master stock list 23-09
1350 - MEADOWS-09,,active,Imported from master stock list 23-09
1361 - C35,,active,Imported from master stock list 23-09
1369-Esmeralda,,active,Imported from master stock list 23-09
1369-Esmeralda (balance doors),,active,Imported from master stock list 23-09
1372 - WILDFLOWER K80,,active,Imported from master stock list 23-09
1380 - APARTMENT 606,,active,Imported from master stock list 23-09
1383 - APARTMENT 603,,active,Imported from master stock list 23-09
1392 - MARSA AL ARAB,,active,Imported from master stock list 23-09
1393 - SAVANNAH,,active,Imported from master stock list 23-09
1397 - FLAMETREE,,active,Imported from master stock list 23-09
