type,article_ref,qty,project_code,holding,note,import_tag
receive,112720,156.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,132710,5.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,138820,5.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,138880,9.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,175780,4.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,176040,2.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,184020,12.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,201316,3.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,203102,500.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,203208,2.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,205381,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,205437,700.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,205492,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,205639,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,205827,300.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,205895,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,207047,8.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,218157,300.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,219657,1.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,220328,10.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,220991,8.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,224073,13.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,225083,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,225089,200.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,225174,700.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,225268,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,235403,16.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,235405,16.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,235694,28.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,235903,20.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,238824,40.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,240458,8.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,242028,20.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,244058,200.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,244178,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,244669,40.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,244670,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,244829,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,244831,32.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,245059,8.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,245611,9.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,245647,13.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,245830,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,246472,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,246486,300.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,265266,40.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,265292,100.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,265365,20.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,265562,20.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,265564,20.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
receive,265681,8.0,,"Apartment 603, Kempinski Residences",DN 7-08 & 28-08 & 11-09,master-stock-list-24-09
